x,Up,Flaps 1,Flaps 5,Flaps 10,Flaps 20,Flaps 25,Flaps 30
7.9767,-0.0091578,-0.0065964,-0.0080293,-0.0080356,-0.0132087,-0.0182088,-0.0197153
7.9837,-0.0091606,-0.0065994,-0.0080326,-0.0080388,-0.013216,-0.0182204,-0.0197269
7.9878,-0.0091624,-0.0066012,-0.0080345,-0.0080406,-0.0132203,-0.0182272,-0.0197337
7.9883,-0.0091626,-0.0066014,-0.0080348,-0.0080409,-0.0132208,-0.0182281,-0.0197346
7.9901,-0.0091634,-0.0066022,-0.0080356,-0.0080417,-0.0132227,-0.0182311,-0.0197376
7.9917,-0.0091641,-0.0066029,-0.0080364,-0.0080424,-0.0132244,-0.0182338,-0.0197403
7.9954,-0.0091657,-0.0066045,-0.0080382,-0.0080441,-0.0132283,-0.01824,-0.0197464
8.4755,-0.0094939,-0.0068315,-0.0083324,-0.0082587,-0.0137193,-0.0190524,-0.0205662
8.4774,-0.0094951,-0.0068323,-0.0083335,-0.0082596,-0.0137211,-0.0190553,-0.0205695
8.4847,-0.0094998,-0.0068353,-0.0083378,-0.008263,-0.0137281,-0.0190664,-0.0205826
8.485,-0.0094999,-0.0068354,-0.008338,-0.0082631,-0.0137283,-0.0190668,-0.020583
8.4861,-0.0095006,-0.0068359,-0.0083386,-0.0082636,-0.0137294,-0.0190685,-0.020585
8.4904,-0.0095033,-0.0068377,-0.0083411,-0.0082656,-0.0137335,-0.019075,-0.0205927
8.4974,-0.0095077,-0.0068406,-0.0083452,-0.0082689,-0.0137402,-0.0190856,-0.0206052
8.9681,-0.0097021,-0.007006,-0.0085604,-0.0085079,-0.0142086,-0.0197407,-0.0214595
8.9775,-0.0097059,-0.0070093,-0.0085642,-0.0085129,-0.0142196,-0.0197545,-0.0214762
8.9822,-0.0097078,-0.007011,-0.0085661,-0.0085155,-0.0142251,-0.0197614,-0.0214845
8.99,-0.0097109,-0.0070139,-0.0085692,-0.0085197,-0.0142343,-0.0197729,-0.0214982
8.9909,-0.0097113,-0.0070142,-0.0085696,-0.0085202,-0.0142355,-0.0197744,-0.0214999
9.0012,-0.0097155,-0.007018,-0.0085737,-0.0085257,-0.0142478,-0.0197897,-0.0215179
9.0016,-0.0097157,-0.0070181,-0.0085739,-0.0085259,-0.0142482,-0.0197902,-0.0215186
9.4541,-0.0099412,-0.007175,-0.0087923,-0.0087744,-0.0148149,-0.0205484,-0.0223183
9.4717,-0.0099511,-0.0071794,-0.0088035,-0.0087841,-0.0148331,-0.0205794,-0.0223519
9.4915,-0.0099623,-0.007184,-0.0088164,-0.0087949,-0.0148529,-0.0206141,-0.0223901
9.505,-0.0099699,-0.007187,-0.0088255,-0.0088023,-0.014866,-0.0206377,-0.0224164
9.5107,-0.0099731,-0.0071882,-0.0088293,-0.0088053,-0.0148714,-0.0206476,-0.0224274
9.5131,-0.0099745,-0.0071887,-0.008831,-0.0088067,-0.0148737,-0.0206519,-0.0224323
9.5313,-0.0099849,-0.0071924,-0.0088437,-0.0088165,-0.0148908,-0.0206835,-0.0224681
9.9696,-0.0102439,-0.0072982,-0.0091648,-0.0090513,-0.0152627,-0.0214591,-0.0233539
9.9697,-0.0102439,-0.0072983,-0.0091648,-0.0090513,-0.0152628,-0.0214593,-0.0233541
9.9744,-0.0102466,-0.0073003,-0.0091673,-0.0090538,-0.0152672,-0.021468,-0.0233628
9.9817,-0.0102508,-0.0073036,-0.0091711,-0.0090577,-0.0152742,-0.0214817,-0.0233765
9.9859,-0.0102533,-0.0073055,-0.0091733,-0.0090599,-0.0152782,-0.0214896,-0.0233843
9.9868,-0.0102538,-0.0073059,-0.0091738,-0.0090604,-0.0152791,-0.0214914,-0.0233861
10.0037,-0.0102634,-0.0073138,-0.0091821,-0.0090694,-0.0152955,-0.0215233,-0.0234171
10.4631,-0.0105215,-0.0075743,-0.0093406,-0.0093191,-0.0157984,-0.0223783,-0.0241746
10.4743,-0.0105279,-0.0075793,-0.0093456,-0.0093253,-0.0158105,-0.0223964,-0.0241936
10.4784,-0.0105303,-0.007581,-0.0093475,-0.0093276,-0.0158149,-0.0224031,-0.0242007
10.4792,-0.0105307,-0.0075814,-0.0093479,-0.009328,-0.0158157,-0.0224044,-0.024202
10.4929,-0.0105386,-0.0075871,-0.0093545,-0.0093357,-0.0158305,-0.0224264,-0.0242258
10.4977,-0.0105414,-0.007589,-0.0093568,-0.0093384,-0.0158356,-0.022434,-0.0242341
10.508,-0.0105473,-0.007593,-0.009362,-0.0093441,-0.0158464,-0.02245,-0.024252
10.9783,-0.0108059,-0.0076987,-0.0096798,-0.0096292,-0.0163131,-0.0230593,-0.0250924
10.9826,-0.0108079,-0.0076997,-0.0096829,-0.0096322,-0.0163178,-0.0230648,-0.0250992
10.984,-0.0108085,-0.0077,-0.0096838,-0.0096331,-0.0163192,-0.0230666,-0.0251014
10.9919,-0.0108122,-0.007702,-0.0096894,-0.0096385,-0.0163278,-0.0230768,-0.0251139
10.9935,-0.0108129,-0.0077024,-0.0096905,-0.0096395,-0.0163294,-0.0230787,-0.0251162
11.0102,-0.0108204,-0.0077067,-0.0097022,-0.009651,-0.0163476,-0.0231004,-0.025142
11.0127,-0.0108215,-0.0077074,-0.0097039,-0.0096527,-0.0163504,-0.0231037,-0.0251459
11.4881,-0.0110098,-0.0078952,-0.009995,-0.0099868,-0.0169289,-0.0237542,-0.0257374
11.4972,-0.0110139,-0.0078996,-0.0100001,-0.0099927,-0.0169398,-0.0237659,-0.025748
11.4974,-0.011014,-0.0078997,-0.0100002,-0.0099928,-0.0169401,-0.0237661,-0.0257483
11.4991,-0.0110148,-0.0079005,-0.0100012,-0.009994,-0.0169422,-0.0237684,-0.0257504
11.5029,-0.0110165,-0.0079024,-0.0100033,-0.0099964,-0.0169467,-0.0237732,-0.0257548
11.5179,-0.0110234,-0.0079097,-0.0100116,-0.010006,-0.0169647,-0.0237921,-0.0257725
11.5265,-0.0110274,-0.0079139,-0.0100164,-0.0100114,-0.0169749,-0.0238028,-0.0257828
11.9791,-0.0112771,-0.0081303,-0.0102921,-0.0102647,-0.0174375,-0.0242999,-0.0263616
11.9857,-0.0112809,-0.008133,-0.0102969,-0.0102683,-0.0174431,-0.0243068,-0.0263698
11.9977,-0.011288,-0.0081379,-0.0103057,-0.0102747,-0.0174532,-0.0243196,-0.0263846
12.0032,-0.0112912,-0.0081401,-0.0103097,-0.0102776,-0.0174577,-0.0243254,-0.0263913
12.0095,-0.0112949,-0.0081427,-0.0103145,-0.0102811,-0.017463,-0.0243322,-0.0263991
12.0122,-0.0112965,-0.0081438,-0.0103165,-0.0102825,-0.0174652,-0.024335,-0.0264023
12.0171,-0.0112993,-0.0081457,-0.0103202,-0.0102852,-0.0174692,-0.0243403,-0.0264083
12.5016,-0.0115722,-0.0082991,-0.0106687,-0.0105618,-0.0178502,-0.0248272,-0.0268827
12.5075,-0.0115754,-0.0083005,-0.0106715,-0.0105653,-0.0178557,-0.0248321,-0.0268866
12.5103,-0.0115769,-0.0083011,-0.0106727,-0.010567,-0.0178583,-0.0248344,-0.0268885
12.5127,-0.0115782,-0.0083017,-0.0106738,-0.0105684,-0.0178604,-0.0248363,-0.02689
12.516,-0.01158,-0.0083025,-0.0106753,-0.0105705,-0.0178636,-0.0248391,-0.0268921
12.5162,-0.0115801,-0.0083025,-0.0106754,-0.0105706,-0.0178638,-0.0248393,-0.0268923
12.5309,-0.0115881,-0.0083059,-0.0106816,-0.0105795,-0.0178778,-0.0248512,-0.0269016
12.9652,-0.0118468,-0.0084121,-0.0108075,-0.0108546,-0.0182901,-0.0251436,-0.0270602
12.989,-0.0118637,-0.0084205,-0.0108194,-0.0108702,-0.0183047,-0.0251598,-0.0270673
12.9917,-0.0118656,-0.0084215,-0.0108209,-0.010872,-0.0183063,-0.0251617,-0.0270681
12.9926,-0.0118663,-0.0084219,-0.0108214,-0.0108726,-0.0183068,-0.0251624,-0.0270684
12.9947,-0.0118678,-0.0084226,-0.0108225,-0.010874,-0.0183081,-0.0251638,-0.0270691
13.0113,-0.0118799,-0.0084289,-0.0108318,-0.010885,-0.0183174,-0.0251756,-0.0270744
13.0179,-0.0118848,-0.0084314,-0.0108356,-0.0108894,-0.0183211,-0.0251804,-0.0270766
13.4878,-0.0122181,-0.0086441,-0.0112162,-0.0112177,-0.018524,-0.0254894,-0.027266
13.501,-0.0122249,-0.0086496,-0.011227,-0.0112277,-0.0185313,-0.0254936,-0.0272706
13.5135,-0.0122311,-0.0086546,-0.0112371,-0.0112372,-0.0185384,-0.0254973,-0.0272748
13.5156,-0.0122321,-0.0086555,-0.0112387,-0.0112387,-0.0185396,-0.0254979,-0.0272755
13.5189,-0.0122337,-0.0086568,-0.0112414,-0.0112413,-0.0185416,-0.0254988,-0.0272766
13.5217,-0.012235,-0.0086579,-0.0112436,-0.0112434,-0.0185432,-0.0254996,-0.0272775
13.9715,-0.0123883,-0.0088261,-0.0115329,-0.0115857,-0.0188881,-0.0255215,-0.0273222
14.0031,-0.012404,-0.0088412,-0.0115515,-0.0116065,-0.0189074,-0.025522,-0.0273165
14.0033,-0.0124041,-0.0088413,-0.0115516,-0.0116066,-0.0189075,-0.025522,-0.0273164
14.0061,-0.0124055,-0.0088427,-0.0115532,-0.0116084,-0.0189091,-0.0255221,-0.0273159
14.0066,-0.0124058,-0.0088429,-0.0115536,-0.0116087,-0.0189094,-0.0255221,-0.0273158
14.0138,-0.0124097,-0.0088465,-0.0115578,-0.0116133,-0.0189134,-0.0255223,-0.0273143
14.0186,-0.0124124,-0.0088489,-0.0115607,-0.0116163,-0.0189161,-0.0255225,-0.0273132
14.4906,-0.0128189,-0.0091347,-0.0118642,-0.0118553,-0.0190254,-0.0256108,-0.0271153
14.4922,-0.0128205,-0.0091357,-0.0118653,-0.011856,-0.0190255,-0.0256112,-0.0271145
14.4995,-0.012828,-0.0091405,-0.0118701,-0.0118593,-0.019026,-0.0256132,-0.0271107
14.5053,-0.0128339,-0.0091443,-0.011874,-0.0118618,-0.0190265,-0.0256148,-0.0271076
14.5072,-0.0128358,-0.0091455,-0.0118752,-0.0118627,-0.0190266,-0.0256153,-0.0271066
14.5156,-0.0128442,-0.009151,-0.0118808,-0.0118664,-0.0190272,-0.0256176,-0.0271022
14.516,-0.0128447,-0.0091513,-0.0118811,-0.0118666,-0.0190273,-0.0256177,-0.027102
