x,Up,1,5,10,20,25,30
8.9592,0.132081,0.158372,0.171763,0.200781,0.20509,0.217084,0.13227
8.9605,0.132107,0.158395,0.171789,0.200794,0.205091,0.217066,0.132244
8.9679,0.132256,0.158529,0.171947,0.200871,0.205096,0.216963,0.132085
8.9816,0.13253,0.158778,0.172238,0.201012,0.205106,0.216773,0.131791
9.4597,0.140534,0.16687,0.182015,0.205663,0.205169,0.20996,0.120673
9.4691,0.140669,0.166998,0.182181,0.205747,0.205148,0.20982,0.120448
9.4697,0.140679,0.167007,0.182192,0.205753,0.205146,0.20981,0.120432
9.4711,0.140699,0.167026,0.182217,0.205765,0.205143,0.209789,0.120398
9.4712,0.140701,0.167027,0.182219,0.205766,0.205143,0.209787,0.120395
9.4742,0.140744,0.167068,0.182272,0.205793,0.205135,0.209742,0.120323
9.4747,0.140751,0.167075,0.182281,0.205797,0.205134,0.209735,0.120311
9.9526,0.147431,0.172332,0.189316,0.209536,0.203049,0.201799,0.10847
9.9564,0.147487,0.172379,0.18937,0.209563,0.203033,0.201726,0.108367
9.9637,0.147594,0.172468,0.189468,0.209612,0.203001,0.20159,0.108175
9.9651,0.147614,0.172485,0.189488,0.209622,0.202995,0.201563,0.108137
9.9699,0.147686,0.172545,0.189554,0.209655,0.202975,0.201472,0.108008
9.97,0.147687,0.172546,0.189555,0.209655,0.202974,0.201471,0.108007
9.9757,0.147771,0.172618,0.189634,0.209694,0.20295,0.201363,0.107853
10.449,0.154668,0.179203,0.195776,0.212625,0.20146,0.191921,0.09453
10.4532,0.15472,0.17925,0.195821,0.212648,0.201447,0.191836,0.094411
10.4551,0.154744,0.179271,0.195842,0.212659,0.201441,0.191798,0.094357
10.4618,0.154825,0.179343,0.195912,0.212696,0.201421,0.191665,0.09417
10.4619,0.154826,0.179344,0.195914,0.212697,0.201421,0.191663,0.094167
10.4629,0.154838,0.179355,0.195924,0.212702,0.201418,0.191643,0.09414
10.4647,0.15486,0.179375,0.195943,0.212712,0.201412,0.191606,0.094088
10.9374,0.15945,0.182846,0.199848,0.214729,0.199426,0.182432,0.080736
10.9504,0.159569,0.182934,0.199941,0.21476,0.199352,0.182186,0.080347
10.9539,0.159601,0.182958,0.199966,0.214768,0.199333,0.18212,0.080244
10.955,0.159612,0.182966,0.199974,0.214771,0.199326,0.182099,0.08021
10.9652,0.159707,0.183037,0.200048,0.214793,0.199267,0.181906,0.079903
10.9678,0.159731,0.183055,0.200066,0.214799,0.199252,0.181857,0.079824
10.9786,0.159832,0.183131,0.200144,0.214822,0.199189,0.181654,0.079499
11.3858,0.163693,0.18647,0.202873,0.215222,0.196559,0.173405,0.066864
11.4405,0.164127,0.186852,0.203177,0.215255,0.196238,0.17215,0.065245
11.4524,0.164216,0.186929,0.20324,0.215263,0.196172,0.171874,0.0649
11.4533,0.164222,0.186935,0.203245,0.215264,0.196167,0.171853,0.064874
11.4547,0.164233,0.186944,0.203253,0.215265,0.196159,0.17182,0.064833
11.4564,0.164245,0.186954,0.203261,0.215266,0.19615,0.17178,0.064784
11.4638,0.164299,0.187001,0.2033,0.215271,0.196109,0.171606,0.064569
11.9351,0.167105,0.189037,0.205011,0.215609,0.19383,0.160231,0.051292
11.9433,0.167161,0.189069,0.20503,0.21561,0.193782,0.160036,0.051038
