x,Flaps 0,Flaps 1,Flaps 5,Flaps 10,Flaps 20,Flaps 25,Flaps 30
20.4476,1.27275,1.49422,1.79734,1.87888,2.08097,2.24138,2.43401
20.6573,1.27614,1.49731,1.79805,1.8799,2.07724,2.23239,2.42255
20.7037,1.27688,1.49795,1.79825,1.88016,2.07646,2.23037,2.4199
20.7739,1.27801,1.49888,1.79858,1.88058,2.07537,2.22733,2.41584
20.9441,1.28079,1.50111,1.79964,1.88168,2.07311,2.22013,2.40588
20.9527,1.28094,1.50122,1.7997,1.88174,2.07301,2.21977,2.40538
21.201,1.28523,1.50451,1.80196,1.88356,2.07036,2.21008,2.39113
21.3024,1.28707,1.50593,1.80305,1.88437,2.06939,2.20647,2.38558
21.3198,1.28739,1.50618,1.80324,1.88451,2.06922,2.20587,2.38465
21.555,1.29186,1.5098,1.806,1.88654,2.06699,2.19809,2.37266
21.6881,1.29454,1.512,1.80762,1.88778,2.06561,2.19388,2.36608
21.9512,1.30024,1.51658,1.81075,1.89041,2.0624,2.18554,2.35252
21.9814,1.30094,1.51712,1.81109,1.89073,2.06197,2.18456,2.35086
22.0053,1.3015,1.51755,1.81136,1.89097,2.06163,2.18377,2.34953
22.0511,1.3026,1.51837,1.81186,1.89145,2.06094,2.18222,2.34692
22.2063,1.30651,1.52116,1.81347,1.89309,2.05836,2.17661,2.33757
22.2078,1.30655,1.52118,1.81348,1.8931,2.05834,2.17656,2.33748
22.562,1.316,1.52752,1.81652,1.89665,2.0516,2.16265,2.31282
22.6238,1.31761,1.52864,1.81695,1.89719,2.05047,2.16039,2.30781
22.6334,1.31786,1.52881,1.81701,1.89727,2.0503,2.16005,2.30701
22.7245,1.32016,1.53048,1.81759,1.89797,2.04874,2.15694,2.29929
22.8745,1.32377,1.53329,1.81838,1.89888,2.04651,2.15224,2.28746
22.9777,1.32617,1.53527,1.81881,1.89934,2.04523,2.14924,2.28064
22.9942,1.32655,1.5356,1.81887,1.89941,2.04504,2.14878,2.27964
23.1002,1.32896,1.53771,1.81919,1.89978,2.04388,2.14592,2.27362
23.2609,1.33257,1.54105,1.8195,1.90031,2.04217,2.14194,2.26519
23.2836,1.33307,1.54153,1.81954,1.90039,2.04192,2.14142,2.26403
23.6189,1.34058,1.54863,1.81971,1.90181,2.03745,2.13397,2.24682
23.6722,1.34179,1.54972,1.81971,1.90205,2.03652,2.13259,2.24386
23.7529,1.34363,1.55132,1.81971,1.90243,2.03494,2.13027,2.23919
23.8158,1.34507,1.55252,1.81971,1.90272,2.03358,2.12825,2.23543
23.9196,1.34748,1.55442,1.81972,1.9032,2.03116,2.12451,2.22927
23.9408,1.34798,1.55479,1.81973,1.90329,2.03064,2.1237,2.22806
24.0304,1.35008,1.5563,1.81977,1.90369,2.0284,2.12014,2.22316
24.1156,1.35209,1.55765,1.81982,1.90404,2.02623,2.11663,2.21891
24.3901,1.35864,1.56162,1.82006,1.90512,2.01985,2.10515,2.20701
24.438,1.3598,1.56227,1.82012,1.90533,2.01902,2.10324,2.20508
24.5583,1.36271,1.56385,1.82026,1.90594,2.01755,2.09872,2.20036
24.8777,1.37047,1.56787,1.82068,1.90845,2.01746,2.08873,2.18822
24.8995,1.371,1.56814,1.82071,1.90866,2.01756,2.08811,2.1874
24.9047,1.37112,1.5682,1.82071,1.90871,2.01759,2.08797,2.1872
24.912,1.3713,1.56829,1.82072,1.90878,2.01762,2.08776,2.18693
24.9505,1.37224,1.56877,1.82077,1.90914,2.01777,2.08668,2.18548
24.9636,1.37256,1.56893,1.82079,1.90927,2.01782,2.0863,2.18498
24.9642,1.37257,1.56894,1.82079,1.90927,2.01782,2.08629,2.18496
